City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,oshnaviyeh,37.0397,45.0983,284.59,68,33,2.63,IR,1697668118
1,ilulissat,69.2167,-51.1,263.16,67,75,1.54,GL,1697668118
2,new norfolk,-42.7826,147.0587,288.55,50,98,1.05,AU,1697668118
3,rongelap,11.1635,166.8941,300.14,80,100,6.7,MH,1697668118
4,adamstown,-25.066,-130.1015,295.89,78,65,3.3,PN,1697667991
5,iskateley,67.6803,53.1512,274.27,89,100,4.02,RU,1697668118
6,ruteng,-8.6136,120.4721,289.39,61,99,0.5,ID,1697668118
7,newnham,-41.3833,147.1333,286.3,76,53,2.57,AU,1697668119
8,sankt johann,48.454,9.344,284.07,79,100,0.45,DE,1697668119
9,kapa'a,22.0752,-159.319,302.33,63,40,4.63,US,1697668119
10,maracaibo,10.6317,-71.6406,304.29,61,15,4.66,VE,1697668102
11,la passe,45.5549,-0.8967,289.81,89,74,4.91,FR,1697668119
12,port-aux-francais,-49.35,70.2167,275.98,93,100,8.85,TF,1697668119
13,tiksi,71.6872,128.8694,265.34,97,100,2.34,RU,1697668119
14,ichinoseki,38.9167,141.1333,286.08,82,97,0.72,JP,1697668119
15,palmerston,-12.486,130.9833,300.31,83,0,0.0,AU,1697668119
16,rakops,-21.0167,24.3333,294.86,34,0,3.73,BW,1697668119
17,kerikeri,-35.2268,173.9474,288.7,95,100,3.85,NZ,1697668119
18,lebu,-37.6167,-73.65,286.31,73,6,5.07,CL,1697668119
19,mont-dore,-22.2833,166.5833,297.04,99,37,4.34,NC,1697668119
20,greymouth,-42.4667,171.2,285.25,66,83,1.57,NZ,1697667998
21,olonkinbyen,70.9221,-8.7187,276.73,88,100,10.41,SJ,1697668119
22,hithadhoo,-0.6,73.0833,299.52,82,72,3.39,MV,1697668014
23,richards bay,-28.783,32.0377,292.26,94,6,1.43,ZA,1697668120
24,blackmans bay,-43.0167,147.3167,287.89,83,92,0.45,AU,1697668120
25,dhuusamarreeb,5.535,46.3861,299.68,74,69,4.95,SO,1697668120
26,uturoa,-16.7333,-151.4333,299.49,77,36,5.59,PF,1697668042
27,whitehorse,60.7161,-135.0538,280.98,93,100,6.17,CA,1697668120
28,puerto natales,-51.7236,-72.4875,284.43,78,92,1.72,CL,1697668120
29,nyurba,63.2842,118.3319,259.88,96,67,2.68,RU,1697668120
30,anadyr,64.75,177.4833,264.43,78,0,5.0,RU,1697668043
31,albany,42.6001,-73.9662,286.51,81,100,0.94,US,1697668120
32,afaahiti,-17.75,-149.2833,298.08,83,95,8.06,PF,1697668018
33,isafjordur,66.0755,-23.124,279.35,80,100,3.51,IS,1697668120
34,edinburgh of the seven seas,-37.0676,-12.3116,286.08,93,100,11.89,SH,1697668120
35,port elizabeth,-33.918,25.5701,290.55,94,20,3.09,ZA,1697668120
36,holualoa,19.6228,-155.9522,300.8,72,40,4.63,US,1697668120
37,machico,32.7,-16.7667,297.43,76,20,2.06,PT,1697668120
38,port mathurin,-19.6833,63.4167,296.59,82,33,4.73,MU,1697668120
39,kuala tungkal,-0.8167,103.4667,298.92,87,99,1.42,ID,1697668120
40,iqaluit,63.7506,-68.5145,272.0,92,100,4.12,CA,1697668121
41,waitangi,-43.9535,-176.5597,286.94,79,100,4.47,NZ,1697668121
42,praia da vitoria,38.7333,-27.0667,294.13,94,75,8.47,PT,1697668121
43,istgah-e rah ahan-e garmsar,35.2346,52.3094,293.31,39,1,1.72,IR,1697668121
44,tangalle,6.024,80.7911,297.43,91,100,4.47,LK,1697668121
45,tazovsky,67.4667,78.7,277.52,93,100,5.81,RU,1697668121
46,cidreira,-30.1811,-50.2056,290.02,76,100,3.92,BR,1697668032
47,vimmerby,57.6659,15.8552,277.75,71,100,1.47,SE,1697668121
48,yellowknife,62.456,-114.3525,280.05,100,100,4.63,CA,1697667927
49,avarua,-21.2078,-159.775,298.18,57,20,4.12,CK,1697668121
50,noyabrsk,63.1994,75.4507,279.95,92,100,5.36,RU,1697668121
51,erenhot,43.6475,111.9767,276.3,44,0,3.05,CN,1697668121
52,ola,59.5833,151.2833,271.16,42,5,2.82,RU,1697668072
53,nova sintra,14.8667,-24.7167,298.08,70,0,3.77,CV,1697668121
54,chonchi,-42.6128,-73.8092,285.71,74,40,0.72,CL,1697668121
55,bethel,41.3712,-73.414,288.45,76,100,2.57,US,1697668091
56,spring creek,40.7266,-115.5859,296.15,28,1,2.77,US,1697667905
57,lamu,-2.2717,40.902,300.27,88,99,4.3,KE,1697668121
58,sovetskaya gavan',48.9723,140.2878,281.54,80,100,6.26,RU,1697668122
59,grytviken,-54.2811,-36.5092,276.11,87,100,4.43,GS,1697668122
60,atafu village,-8.5421,-172.5159,301.74,72,34,3.61,TK,1697668122
61,altai,46.3722,96.2583,272.75,58,0,0.61,MN,1697668122
62,nantucket,41.2835,-70.0995,287.59,80,20,2.06,US,1697668122
63,hawaiian paradise park,19.5933,-154.9731,302.06,72,0,5.14,US,1697667995
64,liwale,-9.7667,37.9333,295.09,80,18,3.02,TZ,1697668122
65,antalaha,-14.9003,50.2788,295.44,94,45,1.78,MG,1697668122
66,huazhou,21.6333,110.5833,295.9,97,100,4.31,CN,1697668122
67,angaur state,6.906,134.13,301.31,74,28,1.44,PW,1697668122
68,czarna bialostocka,53.3051,23.2815,276.94,94,23,1.9,PL,1697668122
69,lerwick,60.1545,-1.1494,284.15,87,71,11.9,GB,1697668122
70,mitsamiouli,-11.3847,43.2844,298.96,86,94,5.47,KM,1697668122
71,ribeira grande,38.5167,-28.7,293.02,87,83,4.02,PT,1697668122
72,karratha,-20.7377,116.8463,299.26,41,0,4.89,AU,1697668122
73,zarghun shahr,32.8473,68.4457,283.25,37,0,1.61,AF,1697668123
74,badger,64.8,-147.5333,271.47,80,100,4.63,US,1697668123
75,wailua homesteads,22.0669,-159.378,301.59,64,40,4.63,US,1697668033
76,margaret river,-33.95,115.0667,282.73,91,48,3.57,AU,1697667996
77,wanning,18.8003,110.3967,299.05,90,99,6.61,CN,1697668123
78,yuzhno-kurilsk,44.0306,145.8556,287.25,58,100,8.74,RU,1697668123
79,yangambi,0.8102,24.4336,294.99,99,100,1.1,CD,1697668123
80,namibe,-15.1961,12.1522,290.9,86,2,2.34,AO,1697668123
81,longyearbyen,78.2186,15.6401,274.06,86,100,3.09,SJ,1697668123
82,klyuchi,52.2667,79.1667,280.44,48,0,3.58,RU,1697668123
83,tirebolu,41.0069,38.8139,287.12,93,100,1.32,TR,1697668123
84,ushuaia,-54.8,-68.3,287.96,46,0,6.71,AR,1697668123
85,geraldton,-28.7667,114.6,286.38,94,96,3.6,AU,1697668123
86,masterton,-40.9597,175.6575,290.31,45,18,0.95,NZ,1697668123
87,coquimbo,-29.9533,-71.3436,290.0,59,0,4.63,CL,1697668078
88,suva,-18.1416,178.4415,301.86,61,75,6.69,FJ,1697668123
89,fort bragg,35.139,-79.006,293.0,53,0,2.06,US,1697668123
90,mazyr,52.0495,29.2456,279.98,71,80,4.27,BY,1697668124
91,santa comba,43.0331,-8.8093,290.25,93,67,5.25,ES,1697668124
92,namie,37.4833,141.0,285.12,78,31,1.58,JP,1697668124
93,kabo,7.6994,18.629,297.05,74,99,1.18,CF,1697668124
94,oranjemund,-28.55,16.4333,289.92,84,0,1.38,NA,1697668124
95,polyarnyy,69.1989,33.4478,274.86,62,100,10.41,RU,1697668124
96,talnakh,69.4865,88.3972,276.6,97,100,5.45,RU,1697668124
97,east london,-33.0153,27.9116,292.29,83,96,6.11,ZA,1697668124
98,yazd,31.8972,54.3675,289.21,31,0,0.0,IR,1697668124
99,bredasdorp,-34.5322,20.0403,289.15,93,61,5.34,ZA,1697668011
100,punta arenas,-53.15,-70.9167,287.21,51,0,7.2,CL,1697667858
101,quellon,-43.1167,-73.6167,285.14,80,58,1.33,CL,1697668124
102,dunedin,-45.8742,170.5036,290.41,70,80,2.24,NZ,1697668124
103,susuman,62.7833,148.1667,255.92,81,100,0.89,RU,1697668083
104,college,64.8569,-147.8028,271.52,79,100,4.63,US,1697668124
105,katabu,-4.9333,122.5167,297.18,90,99,1.38,ID,1697668124
106,lompoc,34.6391,-120.4579,300.89,67,20,2.57,US,1697668094
107,saldanha,-33.0117,17.9442,292.18,81,20,5.35,ZA,1697668124
108,plessisville,46.2186,-71.762,282.71,74,51,3.18,CA,1697668124
109,cochrane,51.1834,-114.4687,292.93,38,0,8.75,CA,1697668125
110,orizona,-17.0314,-48.2958,301.8,26,35,2.44,BR,1697668125
111,aquiraz,-3.9014,-38.3911,302.06,79,1,4.58,BR,1697668125
112,hailar,49.2,119.7,270.57,57,15,4.04,CN,1697668125
113,kingston,17.997,-76.7936,304.68,81,20,7.72,JM,1697668125
114,saint-philippe,-21.3585,55.7679,297.92,84,94,3.52,RE,1697668125
115,velikiy ustyug,60.7644,46.3106,275.04,97,100,5.81,RU,1697668125
116,aasiaat,68.7098,-52.8699,257.45,91,68,2.47,GL,1697668125
117,doctor juan leon mallorquin,-25.4,-55.2667,299.0,96,92,1.55,PY,1697668125
118,saham,24.1722,56.8886,301.0,77,2,0.69,OM,1697668125
119,port alfred,-33.5906,26.891,291.03,95,87,3.4,ZA,1697667941
120,happy valley-goose bay,53.3168,-60.3315,278.32,70,20,2.06,CA,1697668125
121,gornopravdinsk,60.05,69.9,278.57,80,92,3.04,RU,1697668125
122,fale old settlement,-9.3852,-171.2468,301.56,72,91,3.06,TK,1697668125
123,cabo san lucas,22.8909,-109.9124,306.27,70,75,2.06,MX,1697668126
124,thompson,55.7435,-97.8558,282.24,49,40,2.06,CA,1697668017
125,flying fish cove,-10.4217,105.6791,298.97,83,75,5.14,CX,1697668126
126,tadine,-21.55,167.8833,295.15,65,5,7.07,NC,1697668126
127,rio grande,-32.035,-52.0986,288.68,69,91,6.23,BR,1697668126
128,severo-yeniseyskiy,60.3725,93.0408,277.36,98,100,2.24,RU,1697668126
129,tabuk,17.4189,121.4443,295.41,93,100,0.79,PH,1697668126
130,minas de marcona,-15.2119,-75.1103,290.38,77,49,6.17,PE,1697668126
131,enewetak,11.3474,162.3373,301.74,78,16,7.96,MH,1697668126
132,yuci,37.6803,112.7319,282.01,81,100,2.0,CN,1697668126
133,saipan,15.1355,145.701,302.54,79,40,5.66,MP,1697668063
134,utrik,11.2278,169.8474,301.52,75,29,7.6,MH,1697668008
135,west island,-12.1568,96.8225,299.14,83,40,3.6,CC,1697668126
136,naze,28.3667,129.4833,290.66,60,0,0.51,JP,1697668092
137,kruisfontein,-34.0033,24.7314,288.19,93,59,0.59,ZA,1697668126
138,mitu,1.1983,-70.1733,299.05,85,96,0.73,CO,1697668126
139,jacmel,18.2342,-72.5347,305.06,78,36,1.48,HT,1697668126
140,arkhangel'sk,64.5401,40.5433,277.11,78,100,5.79,RU,1697668126
141,mil'kovo,55.6078,37.7956,278.38,94,100,3.96,RU,1697668127
142,aykhal,66.0,111.5,258.74,97,80,1.34,RU,1697668003
143,ialibu,-6.2821,143.9935,288.16,97,99,0.78,PG,1697668127
144,hadibu,12.65,54.0333,300.64,77,13,2.73,YE,1697668127
145,hutchinson,38.0608,-97.9298,294.68,35,0,2.06,US,1697668059
146,port blair,11.6667,92.75,298.17,88,40,1.03,IN,1697668127
147,puerto ayora,-0.7393,-90.3518,302.13,93,94,2.68,EC,1697668030
148,papatowai,-46.5619,169.4708,286.53,59,100,4.65,NZ,1697668127
149,ust-nera,64.5667,143.2,256.6,91,100,1.79,RU,1697668127
150,stanley,54.868,-1.6985,284.7,87,75,8.75,GB,1697668127
151,castelo,-20.6036,-41.1847,295.91,96,93,1.57,BR,1697667922
152,okhotsk,59.3833,143.3,268.78,62,100,3.01,RU,1697668127
153,hermanus,-34.4187,19.2345,289.75,87,45,7.49,ZA,1697668127
154,curaca,-8.9903,-39.9094,304.57,18,99,2.13,BR,1697668127
155,chengde,40.9725,117.9361,281.02,34,48,1.53,CN,1697668127
156,banda aceh,5.5577,95.3222,298.87,85,100,1.91,ID,1697668127
157,flin flon,54.7682,-101.865,281.06,76,75,3.6,CA,1697668117
158,menongue,-14.6585,17.691,293.9,21,12,1.25,AO,1697668127
159,callao,-12.0667,-77.15,293.31,77,100,6.17,PE,1697668127
160,haiku-pauwela,20.9219,-156.3051,303.16,55,20,9.77,US,1697668128
161,sinabang,2.4803,96.3801,298.67,85,100,0.84,ID,1697668128
162,kailua-kona,19.6406,-155.9956,302.87,72,40,4.63,US,1697668128
163,coahuayana de hidalgo,18.7,-103.6583,296.83,96,100,1.47,MX,1697668128
164,maile,-38.9466,-72.3727,287.49,71,88,3.21,CL,1697668128
165,belyy yar,53.6039,91.3903,274.09,100,100,0.0,RU,1697668128
166,tura,25.5198,90.2201,292.74,89,0,1.34,IN,1697668128
167,kodiak,57.79,-152.4072,281.88,43,0,12.86,US,1697667998
168,vorgashor,67.5833,63.95,273.36,83,50,6.21,RU,1697668128
169,kununurra,-15.7667,128.7333,292.14,77,0,1.54,AU,1697667967
170,saudarkrokur,65.7461,-19.6394,277.07,82,93,3.46,IS,1697668128
171,cockburn town,21.4612,-71.1419,302.25,75,9,5.81,TC,1697667916
172,keflavik,64.0049,-22.5624,283.39,76,75,18.52,IS,1697668128
173,sechura,-5.5569,-80.8222,297.85,63,72,8.97,PE,1697668128
174,sinop,41.7711,34.8709,283.13,98,100,1.74,TR,1697668128
175,nova prata,-28.7839,-51.61,286.25,99,100,1.49,BR,1697668128
176,quincy,42.2529,-71.0023,288.7,82,100,4.12,US,1697667926
177,paraparaumu,-40.9167,175.0167,290.35,58,20,4.32,NZ,1697668128
178,bafra,41.5678,35.9069,288.55,91,100,1.25,TR,1697668129
179,carnarvon,-24.8667,113.6333,295.16,60,87,8.74,AU,1697668037
180,bikenibeu village,1.3673,173.1241,299.13,89,100,4.63,KI,1697668050
181,petropavlovsk-kamchatsky,53.0452,158.6483,281.48,88,20,4.0,RU,1697668129
182,bilibino,68.0546,166.4372,255.35,100,99,0.78,RU,1697668129
183,kati,12.7441,-8.0726,299.82,40,49,0.9,ML,1697668129
184,georgetown,5.4112,100.3354,299.83,95,20,1.03,MY,1697668007
185,malanje,-9.5402,16.341,291.77,92,96,2.23,AO,1697668129
186,amasra,41.7463,32.3863,287.38,85,35,4.26,TR,1697668129
187,dickinson,29.4608,-95.0513,301.0,58,20,6.17,US,1697668037
188,udachny,66.4167,112.4,263.4,85,76,1.89,RU,1697667858
189,fisterra,42.9049,-9.2629,292.6,84,2,10.71,ES,1697668030
190,poronaysk,49.2167,143.1167,284.42,90,100,7.48,RU,1697668129
191,kittila,67.6647,24.8936,267.23,93,0,4.63,FI,1697668023
192,dudinka,69.4058,86.1778,276.83,98,100,2.68,RU,1697668129
193,starodub,52.5844,32.7633,280.23,61,100,7.15,RU,1697668129
194,fuglafjordur,62.244,-6.814,281.41,89,100,13.95,FO,1697668129
195,margate,51.3813,1.3862,288.65,94,100,4.02,GB,1697668129
196,hatillo,18.4863,-66.8254,302.1,81,25,0.45,PR,1697668018
197,fort abbas,29.1925,72.8536,297.64,41,25,1.6,PK,1697668129
198,sao felix do xingu,-6.6447,-51.995,303.82,34,66,0.81,BR,1697668129
199,akureyri,65.6835,-18.0878,282.11,61,20,6.69,IS,1697668130
200,invercargill,-46.4,168.35,285.94,78,98,8.49,NZ,1697668130
201,guiberoua,6.2392,-6.1727,295.72,98,100,0.62,CI,1697668130
202,bikin,46.8161,134.26,277.1,88,55,1.83,RU,1697668130
203,kilju,40.9642,129.3278,284.5,67,100,1.5,KP,1697668130
204,nadi,-17.8,177.4167,301.15,61,40,4.12,FJ,1697668130
205,padang,-0.9492,100.3543,298.18,85,100,1.14,ID,1697668130
206,dhemaji,27.4833,94.5833,292.03,87,0,1.7,IN,1697668130
207,santa rosa,14.3122,121.1114,300.14,92,56,2.5,PH,1697668130
208,qaqortoq,60.7167,-46.0333,271.36,60,11,1.41,GL,1697668130
209,kayangel,8.0823,134.7173,301.43,72,7,1.27,PW,1697668130
210,gushu,31.5598,118.4829,287.14,67,3,0.64,CN,1697668130
211,ilhabela,-23.7781,-45.3581,293.83,91,100,3.42,BR,1697668130
212,bishunpur urf maharajganj,26.2519,83.1186,294.25,65,0,2.5,IN,1697668130
213,ancud,-41.8697,-73.8203,283.37,84,28,4.09,CL,1697668028
214,enterprise,36.0252,-115.2419,307.13,12,20,1.54,US,1697668130
215,laojunmiao,39.8333,97.7333,275.6,31,0,2.75,CN,1697668131
216,island harbour,50.724,-1.2758,289.22,88,100,5.81,GB,1697668131
217,petrovskaya,45.4314,37.955,282.62,60,36,3.58,RU,1697668131
218,palikir - national government center,6.9248,158.1611,304.56,66,40,1.54,FM,1697668131
219,chui,-33.6971,-53.4616,285.11,84,28,3.0,UY,1697668131
220,pangai,-19.8,-174.35,296.44,60,9,7.4,TO,1697668131
221,aktau,43.65,51.2,285.47,42,100,7.1,KZ,1697668131
222,khovd,48.0056,91.6419,275.73,41,0,0.22,MN,1697668131
223,villamontes,-21.25,-63.5,303.84,45,100,5.14,BO,1697668131
224,waingapu,-9.6567,120.2641,298.02,81,80,2.06,ID,1697668131
225,gamboma,-1.8764,15.8644,296.31,87,97,1.28,CG,1697668131
226,guerrero negro,27.9769,-114.0611,299.39,45,46,6.7,MX,1697668131
227,dolores,-36.3132,-57.6792,285.78,46,72,5.4,AR,1697668131
228,mahina,-17.5065,-149.489,299.02,78,75,3.09,PF,1697668131
229,krasnyye baki,57.131,45.1599,274.2,91,72,3.31,RU,1697668131
230,broken hill,-31.95,141.4333,294.35,27,0,2.43,AU,1697667859
231,jamestown,42.097,-79.2353,285.92,65,100,2.57,US,1697667909
232,kurumkan,54.3,110.3,271.55,79,9,2.24,RU,1697667857
233,sitka,57.0531,-135.33,286.09,88,100,4.12,US,1697668131
234,umm kaddadah,13.6017,26.6876,301.1,16,100,5.88,SD,1697668132
235,queenstown,-31.8976,26.8753,286.8,83,84,1.83,ZA,1697668132
236,labrador city,52.9463,-66.9114,279.1,56,0,4.63,CA,1697668132
237,mumbwa,-14.9783,27.0619,295.95,62,60,2.56,ZM,1697668132
238,saguenay,48.4168,-71.0657,284.61,58,75,3.6,CA,1697667873
239,sirte,31.2089,16.5887,299.49,36,12,4.33,LY,1697668132
240,dabat,12.9842,37.765,285.78,80,73,0.75,ET,1697668132
241,hammerfest,70.6634,23.6821,273.4,64,40,2.57,NO,1697668065
242,shiyan,32.6475,110.7781,286.87,95,100,1.85,CN,1697668132
243,namdrik,5.5994,168.1028,300.47,81,100,7.01,MH,1697668132
244,igarka,67.4667,86.5833,276.92,98,100,6.96,RU,1697667858
245,lame,10.4415,9.2396,296.94,39,99,1.48,NG,1697668132
246,prien,30.1819,-93.2738,298.27,59,0,6.69,US,1697668132
247,akjoujt,19.6969,-14.4164,303.52,27,0,3.84,MR,1697668132
248,nelson bay,-32.7167,152.15,292.04,76,100,0.45,AU,1697667853
249,les avirons,-21.2418,55.3394,296.2,83,100,1.03,RE,1697668132
250,codrington,-38.2667,141.9667,290.34,44,25,4.9,AU,1697668132
251,tual,-5.6667,132.75,299.71,78,11,4.81,ID,1697668132
252,guayaramerin,-10.8368,-65.3614,305.35,41,80,1.11,BO,1697668133
253,al quwayrah,29.8004,35.3116,291.15,85,0,1.43,JO,1697668133
254,cold lake,54.4502,-110.2017,288.12,55,20,3.09,CA,1697667996
255,mamuju,-2.6748,118.8885,299.09,82,98,1.14,ID,1697668133
256,arraial do cabo,-22.9661,-42.0278,295.39,87,59,6.48,BR,1697667838
257,vadso,70.0744,29.7487,273.64,86,20,4.12,NO,1697668133
258,teslic,44.6064,17.8597,286.2,64,100,0.87,BA,1697668133
259,schleswig,54.5167,9.55,282.54,83,100,5.81,DE,1697668133
260,glendive,47.1053,-104.7125,289.09,55,0,4.63,US,1697668133
261,san patricio,28.017,-97.5169,301.78,42,4,6.25,US,1697668133
262,howrah,22.5892,88.3103,298.15,88,20,1.54,IN,1697668133
263,nar'yan-mar,67.6713,53.087,274.32,89,100,4.02,RU,1697668133
264,luderitz,-26.6481,15.1594,289.39,81,24,1.86,NA,1697668133
265,salbris,47.4242,2.0512,289.99,93,59,4.67,FR,1697668133
266,vilyuchinsk,52.9306,158.4028,282.3,75,93,4.37,RU,1697668133
267,nemuro,43.3236,145.575,288.1,83,100,9.65,JP,1697668133
268,muswellbrook,-32.2667,150.9,289.59,56,6,1.38,AU,1697668134
